vul_id,repo,fixed_commit_sha,patch_file_path,patch_func_name,target_file_path,target_func_name,judgement
CVE-2020-27753,ImageMagick,,,,coders/miff.c,PushRunlengthPacket,FP
CVE-2020-27753,ImageMagick,,,,coders/miff.c,ReadMIFFImage,FP
CVE-2020-27770,ImageMagick,,,,MagickCore/string.c,SubstituteString,FP
CVE-2020-27829,ImageMagick,,,,coders/tiff.c,ReadTIFFImage,
CVE-2021-20244,ImageMagick,,,,MagickCore/visual-effects.c,SwirlImage,
CVE-2021-3574,ImageMagick,,,,coders/tiff.c,ReadTIFFImage,FP
CVE-2021-3610,ImageMagick,,,,coders/tiff.c,ReadTIFFImage,FP
CVE-2021-39212,ImageMagick,,,,MagickCore/annotate.c,ComplexRaqmTextLayout,
CVE-2021-39212,ImageMagick,,,,MagickCore/module.c,OpenModule,FP
CVE-2021-39212,ImageMagick,,,,MagickCore/static.c,RegisterStaticModule,FP
CVE-2021-3962,ImageMagick,,,,coders/dcm.c,ReadDCMImage,FP
CVE-2023-3195,ImageMagick,,,,coders/tiff.c,ReadTIFFImage,
CVE-2023-34474,ImageMagick,,,,coders/tim2.c,ReadTIM2ImageData,FP
CVE-2016-2547,linux,,,,lib/test_hmm.c,dmirror_migrate_to_device,
CVE-2016-3955,linux,,,,virt/kvm/kvm_main.c,kvm_age_hva_range,
CVE-2018-13053,linux,,,,scripts/sorttable.c,do_file,
CVE-2020-0255,linux,,,,security/selinux/hooks.c,ipc_init_security,
CVE-2020-0427,linux,,,,drivers/pinctrl/devicetree.c,of_pinctrl_get,
CVE-2020-0430,linux,,,,tools/testing/selftests/bpf/prog_tests/align.c,probe_filter_length,
CVE-2020-0430,linux,,,,tools/testing/selftests/bpf/test_verifier.c,probe_filter_length,
CVE-2020-0432,linux,,,,drivers/tty/synclink_gt.c,ldisc_receive_buf,
CVE-2020-10711,linux,,,,net/ipv4/cipso_ipv4.c,cipso_v4_parsetag_enum,
CVE-2020-10711,linux,,,,net/ipv4/cipso_ipv4.c,cipso_v4_parsetag_enum,
CVE-2020-10751,linux,,,,security/selinux/hooks.c,ipc_init_security,
CVE-2020-12656,linux,,,,net/sunrpc/sunrpc_syms.c,init_sunrpc,
CVE-2020-14314,linux,,,,fs/ext4/namei.c,do_split,FP
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_close,
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_close,
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_ioctl,
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_receive_buf,
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_write_wakeup,
CVE-2020-14416,linux,,,,drivers/net/can/slcan/slcan-core.c,slcan_write_wakeup,
CVE-2020-14416,linux,,,,drivers/net/slip/slip.c,slip_close,FP
CVE-2020-14416,linux,,,,drivers/net/slip/slip.c,slip_ioctl,
CVE-2020-14416,linux,,,,drivers/net/slip/slip.c,slip_receive_buf,
CVE-2020-24588,linux,,,,net/wireless/util.c,ieee80211_amsdu_to_8023s,FP
CVE-2020-25656,linux,,,,drivers/macintosh/adbhid.c,adbhid_input_keycode,
CVE-2020-27777,linux,,,,arch/powerpc/kernel/rtas.c,rtas_initialize,FP
